kt_path,model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
11310/solution_11310.kt,deepseek-coder-7b-instruct-v1.5,0,11.702921257874285,0.0,10.063653371772636,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5609020404644167,8.02104045479184,11.81708113816575,5.858122687007836,0.7860718583900919,8.135189699119959,3608.2438808462757,0,0,3333.729326528184,1,31
11310/solution_11310.kt,Qwen2.5-Coder-0.5B-Instruct,0,11.702921257874285,0.0,10.063653371772634,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5609020404644167,8.02104045479184,8.55643821788713,2.1865797178710644,0.7822983459656135,4.874546778881204,376.48229705634776,0,0,3333.729326528184,1,31
11310/solution_11310.kt,Qwen2.5-Coder-1.5B-Instruct,0,12.826288117447362,0.0,13.427435801818843,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5917731828123278,8.993018427653213,8.767416403056943,4.498009141101648,0.7208754046601926,4.934136077419036,435.76798646394,0,0,7262.689150629888,1,43
11310/solution_11310.kt,Qwen2.5-Coder-3B-Instruct,0,13.537803937242417,0.0,11.441004998535723,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.5864682572142107,9.655758828826512,8.580239305658573,2.1788119320894297,0.7343050440409877,4.698183561398912,382.7448898275101,0,0,11892.825879972588,1,40
11310/solution_11310.kt,Qwen2.5-Coder-3B,0,14.829017674566257,2.0,12.39455612475632,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.5623343844976701,10.69468156117249,8.911346464849482,2.969052400332808,0.7148416286530825,4.7769997156518205,481.4848069237364,0,1,29105.7722210005,1,46
11310/solution_11310.kt,Qwen2.5-Coder-7B-Instruct,0,14.829017674575546,0.0,11.03770325406681,0.0,0,1,0,0,0,1,0.0,1,0.0,0,1,1,0.0,0.6029184300244598,10.768755635176127,10.229334492624261,6.268694294332761,0.7371745408315269,6.169061817420948,1200.429108853601,0,0,29105.772221187894,1,46
11310/solution_11310.kt,Qwen2.5-Coder-0.5B-Instruct-KExercises-KStack-clean-bytecode-4bit-lora,0,14.634692820626272,2.0,10.943569998599644,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.5532105390445816,10.581183965629279,10.992871402155396,4.06852356474811,0.7695130645721918,6.939351911274782,2037.9054489375787,0,1,25437.915265312076,1,38
8323/solution_8323.kt,kt_source,0,4.321928094887363,2.0,0.7179487179487182,0.0,0,1,0.0017471609294725976,1.5,1,3,12.0,4,0.6666666666666666,1,3,4,8.0,0.0,0.0,12.229828989688183,4.214042985266874,0.7750203920177565,7.907890258877337,4803.362550212063,0,1,20.000000000000004,1,68
8323/solution_8323.kt,CodeLlama-7b-hf,0,20.472664265700597,9.0,9.578620939961414,0.0,0,2,0.012608882078289986,7.5,1,5,232.64662506490404,12,12.92481250360578,3,9,6,31.019550008653873,0.6822354220938636,16.077370046228914,12.216316466621606,5.516827440401929,0.7547105959941367,7.821011611664938,4758.58348459105,0,3,1455077.198139373,3,83
8323/solution_8323.kt,CodeLlama-7b-Instruct-hf,0,15.219223185309612,9.0,9.323736352113341,0.0,0,2,0.007919411841450659,3.75,2,5,115.80339053487617,11,6.43352169638201,3,8,7,30.880904142633646,0.5448081992546906,10.754642361245063,9.908439635721372,4.055426276666348,0.7412756972420491,5.443848176171834,961.0313178458255,0,3,38145.445333480944,3,82
8323/solution_8323.kt,CodeLlama-7B-KStack-clean,0,16.1689977761806,9.0,9.586571488258388,0.0,0,2,0.010723894458434859,5.0,2,5,182.47806993374428,13,10.137670551874683,4,9,7,36.49561398674886,0.5757633666608732,11.737887004353114,11.50603490360943,5.666405652315384,0.7481321096355102,7.074913496217232,2908.4502345667047,0,3,73680.62997482892,3,85
8323/solution_8323.kt,CodeLlama-7B-KStack,0,20.472664265700597,9.0,9.578620939961414,0.0,0,2,0.012608882078289986,7.5,1,5,232.64662506490404,12,12.92481250360578,3,9,6,31.019550008653873,0.6822354220938635,16.077370046228914,12.216316466621606,5.516827440420108,0.7547105959940151,7.821011611664938,4758.58348459105,0,3,1455077.198139373,3,83
8323/solution_8323.kt,deepseek-coder-1.3b-base,0,20.39719256758739,10.0,8.971356806888604,3.0,1,3,0.009477041882051136,6.0,1,6,151.59716579111063,9,8.422064766172813,2,7,7,25.26619429851844,0.6673949126361264,15.990764565742445,8.706155433875123,3.6029841899545487,0.7205723836492143,4.2997167966647805,417.65139132196504,0,2,1380914.501028596,6,83
8323/solution_8323.kt,deepseek-coder-1.3b-instruct,0,11.646393156777677,5.0,7.190382282133698,3.0,1,2,0.0036342411856642785,3.0,1,3,36.0,6,2.0,2,4,4,12.0,0.4967193382745392,7.503728800870061,10.404876808902356,5.599144802813426,0.7234468131201144,6.2622018173104355,1355.7512722947745,0,1,3205.6321234501943,3,60
8323/solution_8323.kt,deepseek-coder-1.3B-kexer,0,12.143700129779482,5.0,6.872926780486429,3.0,1,2,0,0,0,3,0.0,5,0.0,0,5,3,7.92481250360578,0.5040514351269876,8.080885233948358,10.592635527757997,9.45126113936898,0.7422621640830019,6.5298099962425695,1544.1910357749232,0,1,4524.993893010109,3,63
8323/solution_8323.kt,deepseek-coder-6.7b-base,0,16.37006754166896,7.0,7.702316611132024,0.0,0,2,0.0048876146417121315,2.5,2,5,56.14709844115208,8,3.1192832467306713,2,6,7,22.458839376460833,0.5725765045863508,11.944948990953053,12.302498777052609,5.177476743114766,0.7500875082327559,7.877369590771985,5051.509260864862,0,2,84699.60033921315,3,69
8323/solution_8323.kt,deepseek-coder-6.7b-instruct,0,18.404293942465518,9.0,8.364092673811795,0.0,0,2,0.00908008755992046,5.0,1,5,142.1729375396636,11,7.898496529981311,2,9,6,28.43458750793272,0.6257298460294161,14.008999723033703,11.481815403354162,5.126406907824029,0.7548748397775722,7.0865105484373565,2860.031662465323,0,3,346932.1325658846,3,83
8323/solution_8323.kt,deepseek-coder-6.7B-kexer,0,18.327823341426303,9.0,7.782496791458853,0.0,0,2,0.007943097973039884,5.0,1,5,116.32331253245201,9,6.462406251802889,2,7,6,23.264662506490403,0.6115116471350793,13.831707975858402,9.899965600510862,4.458424857307052,0.7413289995868447,5.4038395995376955,955.403002519937,0,3,329021.7295761492,3,75
8323/solution_8323.kt,deepseek-coder-7b-base-v1.5,0,17.714837168049613,9.0,9.06751065303845,0.0,0,2,0.009905781746683879,4.5,2,6,162.0,12,9.0,3,9,8,36.0,0.6007080532581673,13.1994575151369,11.934969719092258,6.358271745398115,0.7582034683042836,7.419579430734419,3915.469837712403,0,3,215128.2061604704,3,83
8323/solution_8323.kt,deepseek-coder-7b-instruct-v1.5,0,16.885492071156307,9.0,10.081765777555107,0.0,0,2,0.007919411841450659,3.75,2,5,115.80339053487617,11,6.43352169638201,3,8,7,30.880904142633646,0.5820692620209903,12.409528493741469,11.931149650547608,6.060282680048302,0.7573283096921967,7.455175437607921,3905.115897598109,0,3,121070.85376292525,3,80
8323/solution_8323.kt,Qwen2.5-Coder-0.5B-Instruct,0,15.644083962042046,2.0,8.927935738146966,0.0,0,1,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.5920178629732812,11.520000164534489,11.221281408153368,6.688737844803463,0.7223948601510669,7.097186975041233,2387.49402642602,0,1,51208.08407903028,1,57
